id,name,file,source_url,width,height
34476,Champú color Rojo - Power Color - 400 ml,34476.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-power-color-red-cabello-rojo-valquer.jpg?v=1786525957,2048,2048
34485,Mascarilla color Cobre - Power Color - 275 ml,34485.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla-power-color-copper-cabello-cobrizo-valquer.jpg?v=1786525977,2048,2048
34486,Champú color Cobre - Power Color - 400 ml,34486.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-power-color-copper-cabello-cobrizo-valquer.jpg?v=1786525992,2048,2048
34495,Mascarilla color gris plata - Power Color - 275 ml,34495.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla-power-color-silver-cabello-plateado-valquer.jpg?v=1786526012,2048,2048
34496,Champú color Gris - Power Color- 400 ml,34496.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_color_gris.jpg?v=1767940568,2000,2000
36116,Champú para Niños (Extra Suave) con Ingredientes Naturales – 400 ml,36116.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_para_ninos.png?v=1765438189,2048,2048
36135,Acondicionador Bifásico Infantil (SIN Aclarado) – 300 ml,36135.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/acondicionador_infantil.png?v=1765437416,2048,2048
36216,Champú Preventivo Infantil – 400 ml,36216.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_preventivo.png?v=1765437582,2048,2048
36235,Acondicionador Bifásico Preventivo Infantil Sin Aclarado con Aceite de Árbol de Té y de Limón - 300 ml,36235.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/acondicionador-bifasico-infantil-preventive-valquer-300ml.webp?v=1783682664,2048,2048
37104,Kit Profesional para Permanente Nº0  – Cabello Difícil | 2 Pasos + Acondicionador Efecto Seda - 210 ml,37104.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/kit_permanente_cabello_dificil.webp?v=1765798336,2048,2048
37107,Líquido para permanente Nº0 (Difíciles) - 500 ml,37107.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/liquido-permanente-n0-cabellos-dificiles-vplex-valquer.jpg?v=1786526033,2048,2048
